gua-ewg-asp-dada1.log	-56.69	O10 - H18	0.048575	1.68	176.48	358.53
asp gua-EWG parallel		O11 - H14	0.049814	1.67	182.05	
gua-ewg-asp-dda_moved_2.log	-42.1	O10 - H18	0.019988	2.02	40.17	214.81
asp gua_EWG bifurcated		O10 - H19	0.049777	1.67	174.64	
gua-ewg-onp-dda1.log	-21.6	O17 - H25	0.01799	2.05	34.27	75.77
onp gua-EWG alpha bifurcated		O17 - H26	0.020986	2.01	41.51	
gua-ewg-onp-ddaa.log	-27.68	O18 - H25	0.016958	2.07	28.03	89.24
onp gua-EWG beta zigzag		O18 - H26	0.017046	2.15	32.51	
		O17 - H26	0.017218	2.15	28.7	
gua-ewg-pep-dda_2.log	-34.28	O12 - H15	0.025132	1.93	40.71	118.74
pep gua-EWG bifurcated		O12 - H19	0.030294	1.87	78.03	
gua-ewg-pnp-dda_2.log	-21.59	O16 - H25	0.021328	1.98	44.98	92.76
pnp gua-EWG bifurcated		O16 - H26	0.022138	1.98	47.78	
